id,username,date,text,hashtags,geo,traffic
1051600805755846657,WJHG_TV,2018-10-14 22:29:04+00:00,"A lot of disaster assistance info... as well as shelters, food/water PODS, and curfew information can be found here... https://www.floridadisaster.org/info/",,,1
1051595380369096704,fl511_panhandl,2018-10-14 22:07:31+00:00,"Cleared: Traffic congestion in Bay on US-231 south beyond SR-20, all lanes blocked. Last updated at 04:05:30PM.",,,1
1051580211702243333,WJHG_TV,2018-10-14 21:07:14+00:00,Jessica and Ryan are about to handle our storm coverage off to Ron and myself. We will be with you until 10:30 tonight. Feel free to ask us questions or tell us things we need to share using the hashtag... #wjhgmichael,#wjhgmichael,,1
1051575221671682054,fl511_panhandl,2018-10-14 20:47:24+00:00,"Cleared: Object on roadway in Okaloosa on I-10 west at MM 51, right lane blocked. Last updated at 04:45:39PM.",,,1
1051574997964255232,fl511_panhandl,2018-10-14 20:46:31+00:00,"New: Object on roadway in Okaloosa on I-10 west at MM 51, right lane blocked. Last updated at 04:45:39PM. #fl511 http://fl511.com/EventDetails/District%203-CHP/64042",#fl511,,1
1051574512360284161,WJHG_TV,2018-10-14 20:44:35+00:00,Thanks to @cowgirlkitchen in SoWal for all the wonderful food for the crew today!!!,,,1
1051573588611031040,WJHG_TV,2018-10-14 20:40:55+00:00,Folks that are unemployed as a result of the storm can apply for assistance here... https://workforcesecurity.doleta.gov/unemploy/disaster.asp,,,1
1051573026486145026,WJHG_TV,2018-10-14 20:38:41+00:00,Folks in South Walton can bring supplies for the hurricane victims to the Ohana School in Inlet Beach at 30Avenue.,,,1
1051569027401871360,WJHG_TV,2018-10-14 20:22:47+00:00,We counted more than 10 cars sitting on the side of the road in Inlet Beach using the first Verizon cell service outside of PC/PCB.,,,1
1051565314079711232,WJHG_TV,2018-10-14 20:08:02+00:00,There is fuel at Blondies in Grand Ridge. Free water and MREs are available at Grand Ridge Town Hall.,,,1
1051564919219515399,fl511_panhandl,2018-10-14 20:06:28+00:00,"Updated: Traffic congestion in Bay on US-231 south beyond SR-20, all lanes blocked. Last updated at 04:05:30PM. http://fl511.com/EventDetails/District%203-CHP/64035",,,1
1051564637832007680,fl511_panhandl,2018-10-14 20:05:21+00:00,"Updated: Traffic congestion in Bay on US-231 south beyond SR-20, all lanes blocked. Last updated at 04:04:42PM. http://fl511.com/EventDetails/District%203-CHP/64035",,,1
1051563457252913152,fl511_panhandl,2018-10-14 20:00:39+00:00,"New: Traffic congestion in Bay on US-231 south beyond SR-20, all lanes blocked. Last updated at 03:59:45PM. #fl511 http://fl511.com/EventDetails/District%203-CHP/64035",#fl511,,1
1051555304280866816,WJHG_TV,2018-10-14 19:28:16+00:00,"Walmart in Marianna has food, water, ice, commodities and tarps. The Jackson County Emergency Operations Center is working toward putting PODs (points of distribution) in each town.",,,1
1051528256703344640,WJHG_TV,2018-10-14 17:40:47+00:00,"FOOD AND OR WATER LOCATED AT GROCERY OUTLET 225 S TYNDALL PKY PANAMA CITY, SUBWAY 3604 15TH STREET SPRINGFIELD AND WALLER ELEMENTARY SCHOOL 11332 COUNTY ROAD 388 YOUNGSTOWN",,,1
1051508423546851328,WJHG_TV,2018-10-14 16:21:58+00:00,Camping World on 23rd street is open and will have lunch for anyone who comes by today starting at 12 noon while supplies last. Please feel free to let the community know. We also have generators and supplies if anyone is in need. If you want more info call Vince at 239-810-0363,,,1
1051481677866983425,WJHG_TV,2018-10-14 14:35:42+00:00,This has been moved across the street to the JCPenny at the mall.,,,1
1051467397234868224,WJHG_TV,2018-10-14 13:38:57+00:00,"(4/4) Bay C0 Emerg.Serv If you evacuated and can stay away for a few more days, the situation here is guaranteed to continue to improve before you return. If you must return, please know that it is challenging to move around here currently (but it's DEFINITELY improving).",,,1
1051467228791656449,WJHG_TV,2018-10-14 13:38:17+00:00,"(3/5) Bay Co Em Serv We are in the process of resolving known issues throughout the area but resources are extremely limited (gas, ice, tires etc.) and there's still no power or water in town and very sporadic cell service. We are still observing at 6:30 p.m. to 6:30 a.m. curfew.",,,1
1051466826763395076,WJHG_TV,2018-10-14 13:36:41+00:00,(2/5) Bay Co Emergency Services Message Travel throughout our county is challenging and all vehicles on the road are potentially impeding the work of the first responders and power crews who are providing needed services.,,,1
1051466528347090951,WJHG_TV,2018-10-14 13:35:30+00:00,"(1/3)Bay County, Florida Emergency Services8:12 am IMPORTANT UPDATE FOR THOSE WHO STILL NEED TO RETURN TO THE PANAMA CITY AREA: All access check points have been lifted HOWEVER normal supports here are limited.",,,1
1051391767642337280,fl511_panhandl,2018-10-14 08:38:25+00:00,"Cleared: Disabled vehicle in Escambia on I-10 east at MM 17 - Escambia Bay Bridge, right lane blocked. Last updated at 03:27:16AM.",,,1
1051374138936451072,fl511_panhandl,2018-10-14 07:28:22+00:00,"New: Disabled vehicle in Escambia on I-10 east at MM 17 - Escambia Bay Bridge, right lane blocked. Last updated...http://fl511.com/EventDetails/District%203-CHP/63987",,,1
1051348109278752769,WJHG_TV,2018-10-14 05:44:57+00:00,Ice and Water at the old Toys R Us Sunday morning...,,,1
1051289257489428486,fl511_panhandl,2018-10-14 01:51:05+00:00,A Silver Alert has been issued for Hersey Warren out of Hobe Sound. Look for a 2007 Silver Lexus 350 Series FL...http://fl511.com/List/Alerts,,,1
1051201475744059392,fl511_panhandl,2018-10-13 20:02:16+00:00,"Cleared: Unconfirmed flooding in Bay on SR-20 west at Econfina Creek Bridge, all lanes blocked. Last updated at 07:12:00AM.",,,1
1051201265382899715,fl511_panhandl,2018-10-13 20:01:26+00:00,"Cleared: Unconfirmed flooding in Bay on SR-20 east at Econfina Creek Bridge, all lanes blocked. Last updated at 07:11:50AM.",,,1
1051194090312925185,WJHG_TV,2018-10-13 19:32:56+00:00,SUPER WALMART 2101 HIGHWAY 77 IN LYNN HAVEN NOT ALL SITES MAY HAVE BOTH FOOD AND WATER AVAILABLE.,,,1
1051194047245762560,WJHG_TV,2018-10-13 19:32:45+00:00,BAY COUNTY FOOD AND OR WATER LOCATIONS. LUCILLE MOORE ELEMENTARY 1900 MICHIGAN AVE BOZEMAN LEARNING CENTER 13410 HIGHWAY 77 PARKER ELEMENTARY 640 S HIGHWAY 22 A ROSENWALD MIDDLE SCHOOL 924 BAY AVE CHERRY ST ELEMENTARY 1125 CHERRY ST,,,1
1051176477440561152,WJHG_TV,2018-10-13 18:22:56+00:00,We spoke with Walton Co Sheriff Michael Adkinson regarding relief efforts in Walton Co. He is coordinating efforts at Grayton Beer in South Walton. He wants residents to donate relief supplies there and he will ensure those supplies are safely distributed to area counties.,,,1
1051175631529156608,WJHG_TV,2018-10-13 18:19:35+00:00,Gov. Scott has spoken to the President regarding disaster response....,,,1
1051174867922489345,WJHG_TV,2018-10-13 18:16:33+00:00,Regarding re-entry into Gulf Co.,,,1
1051141075681841154,WJHG_TV,2018-10-13 16:02:16+00:00,A useful twitter list for area emergency officials. https://twitter.com/nwstallahassee/status/1051140752770850817?s=21,,,1
1051129277335437312,WJHG_TV,2018-10-13 15:15:23+00:00,Captain Andersons still has water and ice available at their restaurant for those in need.,,,1
