id,username,date,text,hashtags,geo,traffic
1051623671951974400,GulfPower,2018-10-14 23:59:56+00:00,"“We are pleased to be making steady progress as thousands more lights are shining tonight,” said Adrianne Collins, vice president of Power Delivery. ""It is great to reach this milestone, and we will not stop until the work is complete.” #HurricaneMichael ",#HurricaneMichael,,0
1051623669363965952,Postcards4Potus,2018-10-14 23:59:55+00:00,@realDonaldTrump really doesn't care! Seriously! Do people need him to wear Melanias jacket before they get it? #HurricaneMichael,#HurricaneMichael,,0
1051623651320184832,LauraHKByrne,2018-10-14 23:59:51+00:00,"This is an excellent point. The best and easiest way for any of us to help is to make a monetary donation to trusted groups so they can buy what they need to help those impacted. It feels good to donate stuff, but it does take away from volunteer efforts. #HurricaneMichael ",#HurricaneMichael,,0
1051623649197875201,SupplierCom,2018-10-14 23:59:50+00:00,For those affected by #HurricaneMichael membership fees waived. ,#HurricaneMichael,,0
1051623615911927808,Heart_to_Heart,2018-10-14 23:59:42+00:00,"The devastation from #HurricaneMichael is hard to believe. HHI medical teams have been traveling through it to reach people in need in #PanamaCity, #Florida. Help provide urgently needed medical care: http://www.h2hi.us or text ""HM"" to 41444",#HurricaneMichael #PanamaCity #Florida,,0
1051623400249196545,Angie2TheRescue,2018-10-14 23:58:51+00:00,Omg! Finally my area got water and power! Been without since Wednesday due to #HurricaneMichael So thankful ,#HurricaneMichael,,0
1051623385745231872,truevisualpoet,2018-10-14 23:58:48+00:00,Thanks for caring; your service and sacrifices are appreciated #SundayMotivation #HurricaneMichael,#SundayMotivation #HurricaneMichael,,0
1051623352333455360,ConvoyofHope,2018-10-14 23:58:40+00:00,"Thanks to the generosity of friends like you, we've served more than 2,000 carloads of people with much-needed relief supplies! Your support is going to real people affected by #HurricaneMichael with real needs — Thank you! ",#HurricaneMichael,,0
1051623347434471425,NoplaceReally,2018-10-14 23:58:38+00:00,"Still no #FEMA or #food as the official #HurricaneMichael #deathtoll of 17 as of Sunday afternoon is expected to rise as search-and-rescue teams inspect thousands of buildings, looking for the missing. https://www.thedailybeast.com/no-food-no-fema-hurricane-michaels-survivors-are-furious",#FEMA #food #HurricaneMichael #deathtoll,,0
1051623276051607553,DeriousB_,2018-10-14 23:58:21+00:00,Power finally back on. #HurricaneMichael,#HurricaneMichael,,0
1051623226156220417,nichole_grady,2018-10-14 23:58:09+00:00,"#HurricaneMichael made landfall, friends and relatives were desperate for word from loved ones https://www.wsj.com/articles/cut-off-after-hurricane-michael-relatives-struggle-to-make-contact-1539379854 via @WSJ @HansVestberg_ @diegoscotti @CNN @AC360 @donlemon @MSNBC @NBCNews This needs national coverage! If u have #VerizonWireless you still don’t have signal",#HurricaneMichael #VerizonWireless,,0
1051623032454823936,Jr3597,2018-10-14 23:57:23+00:00,Additional counties can now apply for disaster assistance: #CalhounCounty #Gadsden #Jackson &amp; #Liberty Start your application for help now; take pics of damage &amp; save receipts! http://disasterassistance.gov #DisasterRelief #Resources #HurricaneMichael #DisasterAssistTeam,#CalhounCounty #Gadsden #Jackson #Liberty #DisasterRelief #Resources #HurricaneMichael #DisasterAssistTeam,,0
1051622723816808448,happy_chirpy,2018-10-14 23:56:10+00:00,"""The remnants of #Michael/#HurricaneMichael have crossed the Atlantic. The current satellite shows the storm just off the coast of western Europe. The storm will slide southeast and bring some wind/rain to Spain and Portugal. Those two countries just went through #Leslie. """,#Michael #HurricaneMichael #Leslie,,0
1051622670217953281,Sick_AN_Twisted,2018-10-14 23:55:57+00:00,#HurricaneMichael Roanoke Virginia 2018 ,#HurricaneMichael,,0
1051622516404473857,JimmyBear2,2018-10-14 23:55:20+00:00,SEE THE DIFFERENCE? #HurricaneMichael #BarackObama #TrumpIsAMonster #TrumpIsUnfit #TrumpMustGo #TheResistance #TheResistanceVotes,#HurricaneMichael #BarackObama #TrumpIsAMonster #TrumpIsUnfit #TrumpMustGo #TheResistance #TheResistanceVotes,,0
1051622497743822848,CEDRdigital,2018-10-14 23:55:16+00:00,#FloridaPanhandle #HurricaneMichael ,#FloridaPanhandle #HurricaneMichael,,0
1051622391019917314,creamer_tammy,2018-10-14 23:54:50+00:00,#HurricaneMichael #HurricaneFlorence,#HurricaneMichael #HurricaneFlorence,,0
1051622278490935296,KarenSL,2018-10-14 23:54:24+00:00,The victims of #HurricaneMichael need this set up by the Federal Government until their new homes are rebuilt &amp; their lives are 100% back to where they were prior to the Hurricane.......it's time to focus all $$$&amp; attention on American Families! ,#HurricaneMichael,,0
1051622231581880320,KWUrgentUpdate,2018-10-14 23:54:12+00:00,"The Florida Forest Service Chainsaw Strike Teams have been busy removing trees and debris from roadways to provide access to residents returning to their homes in the Panhandle after #HurricaneMichael. — FL Forest Service (FLForestService) October 14,…",#HurricaneMichael,,0
1051622145120460805,SouthsideEC,2018-10-14 23:53:52+00:00,Storm restoration update: #hurricanemichael ,#hurricanemichael,,0
1051622117610061825,earth_liveing,2018-10-14 23:53:45+00:00,"Top story: @chefjoseandres: 'Our @WCKitchen team serving hundreds of hot meals in Mexico Beach, Florida today! This is ground zero where #HurricaneMichael hit hardest...but the smiling faces show the resilience of the p… , see more http://tweetedtimes.com/GastroBuzz/gastrobuzz?s=tnp",#HurricaneMichael,,0
1051622114913062912,wflo,2018-10-14 23:53:45+00:00,"Top story: @chefjoseandres: 'Our @WCKitchen team serving hundreds of hot meals in Mexico Beach, Florida today! This is ground zero where #HurricaneMichael hit hardest...but the smiling faces show the resilience of the p… , see more http://tweetedtimes.com/GastroBuzz/gastrobuzz?s=tnp",#HurricaneMichael,,0
1051622113386356736,Weightlos_,2018-10-14 23:53:44+00:00,"Top story: @chefjoseandres: 'Our @WCKitchen team serving hundreds of hot meals in Mexico Beach, Florida today! This is ground zero where #HurricaneMichael hit hardest...but the smiling faces show the resilience of the p… , see more http://tweetedtimes.com/GastroBuzz/gastrobuzz?s=tnp",#HurricaneMichael,,0
1051622112027430914,Personal_editio,2018-10-14 23:53:44+00:00,"Top story: @chefjoseandres: 'Our @WCKitchen team serving hundreds of hot meals in Mexico Beach, Florida today! This is ground zero where #HurricaneMichael hit hardest...but the smiling faces show the resilience of the p… , see more http://tweetedtimes.com/GastroBuzz/gastrobuzz?s=tnp",#HurricaneMichael,,0
